path,score
..\data\train\spoof\spoof_16005.wav,0.0
..\data\train\spoof\spoof_08664.wav,0.0
..\data\train\spoof\spoof_05307.wav,0.0
..\data\train\spoof\spoof_20315.wav,0.0
..\data\train\spoof\spoof_08386.wav,0.0
..\data\train\spoof\spoof_34637.wav,0.0
..\data\train\spoof\spoof_09406.wav,0.0
..\data\train\spoof\spoof_04478.wav,0.0
..\data\train\spoof\spoof_31073.wav,0.0
..\data\train\human\human_03977.wav,1.0
..\data\train\spoof\spoof_10217.wav,0.0
..\data\train\spoof\spoof_02146.wav,0.0
..\data\train\spoof\spoof_10107.wav,0.0
..\data\train\human\human_03622.wav,1.0
..\data\train\spoof\spoof_37752.wav,0.0
..\data\train\human\human_07049.wav,1.0
..\data\train\spoof\spoof_39644.wav,0.0
..\data\train\spoof\spoof_02516.wav,0.0
..\data\train\human\human_00853.wav,1.0
..\data\train\spoof\spoof_07293.wav,0.0
..\data\train\spoof\spoof_10120.wav,0.0
..\data\train\spoof\spoof_19435.wav,0.0
..\data\train\spoof\spoof_33982.wav,0.0
..\data\train\spoof\spoof_39618.wav,0.0
..\data\train\spoof\spoof_32622.wav,0.0
..\data\train\spoof\spoof_06574.wav,0.0
..\data\train\spoof\spoof_09090.wav,0.0
..\data\train\spoof\spoof_04557.wav,0.0
..\data\train\spoof\spoof_33120.wav,0.0
..\data\train\spoof\spoof_01456.wav,0.0
..\data\train\spoof\spoof_38938.wav,0.0
..\data\train\spoof\spoof_05730.wav,0.0
..\data\train\spoof\spoof_08841.wav,0.0
..\data\train\spoof\spoof_14650.wav,0.0
..\data\train\spoof\spoof_35116.wav,0.0
..\data\train\spoof\spoof_07179.wav,0.0
..\data\train\spoof\spoof_21438.wav,0.0
..\data\train\spoof\spoof_16593.wav,0.0
..\data\train\human\human_07092.wav,1.0
..\data\train\human\human_02245.wav,1.0
..\data\train\spoof\spoof_25626.wav,0.0
..\data\train\spoof\spoof_39096.wav,0.0
..\data\train\spoof\spoof_10573.wav,0.0
..\data\train\spoof\spoof_35951.wav,0.0
..\data\train\spoof\spoof_15758.wav,0.0
..\data\train\human\human_01212.wav,1.0
..\data\train\spoof\spoof_36875.wav,0.0
..\data\train\spoof\spoof_14270.wav,0.0
..\data\train\spoof\spoof_28697.wav,0.0
..\data\train\spoof\spoof_24874.wav,0.0
..\data\train\spoof\spoof_38092.wav,0.0
..\data\train\human\human_10294.wav,1.0
..\data\train\human\human_01913.wav,1.0
..\data\train\human\human_00432.wav,1.0
..\data\train\spoof\spoof_27122.wav,0.0
..\data\train\human\human_02400.wav,1.0
..\data\train\spoof\spoof_35962.wav,0.0
..\data\train\spoof\spoof_19366.wav,0.0
..\data\train\spoof\spoof_11124.wav,0.0
..\data\train\spoof\spoof_34724.wav,0.0
..\data\train\spoof\spoof_03013.wav,0.0
..\data\train\spoof\spoof_27170.wav,0.0
..\data\train\spoof\spoof_37660.wav,0.0
..\data\train\spoof\spoof_25850.wav,0.0
..\data\train\spoof\spoof_09739.wav,0.0
..\data\train\spoof\spoof_07678.wav,0.0
..\data\train\spoof\spoof_01347.wav,0.0
..\data\train\spoof\spoof_20600.wav,0.0
..\data\train\spoof\spoof_06657.wav,0.0
..\data\train\human\human_09118.wav,1.0
..\data\train\spoof\spoof_27125.wav,0.0
..\data\train\spoof\spoof_37183.wav,0.0
..\data\train\spoof\spoof_08066.wav,0.0
..\data\train\spoof\spoof_27525.wav,0.0
..\data\train\spoof\spoof_17496.wav,0.0
..\data\train\spoof\spoof_21250.wav,0.0
..\data\train\spoof\spoof_27048.wav,0.0
..\data\train\spoof\spoof_34988.wav,0.0
..\data\train\spoof\spoof_30914.wav,0.0
..\data\train\spoof\spoof_25838.wav,0.0
..\data\train\spoof\spoof_28105.wav,0.0
..\data\train\spoof\spoof_36939.wav,0.0
..\data\train\spoof\spoof_36567.wav,0.0
..\data\train\spoof\spoof_24003.wav,0.0
..\data\train\human\human_05283.wav,1.0
..\data\train\human\human_02305.wav,1.0
..\data\train\spoof\spoof_32027.wav,0.0
..\data\train\human\human_00914.wav,1.0
..\data\train\spoof\spoof_35229.wav,0.0
..\data\train\human\human_07245.wav,1.0
..\data\train\spoof\spoof_09404.wav,0.0
..\data\train\spoof\spoof_29831.wav,0.0
..\data\train\spoof\spoof_02731.wav,0.0
..\data\train\spoof\spoof_13209.wav,0.0
..\data\train\spoof\spoof_17759.wav,0.0
..\data\train\spoof\spoof_11212.wav,0.0
..\data\train\spoof\spoof_16240.wav,0.0
..\data\train\human\human_06245.wav,1.0
..\data\train\spoof\spoof_27716.wav,0.0
..\data\train\spoof\spoof_26337.wav,0.0
..\data\train\spoof\spoof_36518.wav,0.0
..\data\train\spoof\spoof_00937.wav,0.0
..\data\train\spoof\spoof_19587.wav,0.0
..\data\train\spoof\spoof_07852.wav,1.0
..\data\train\spoof\spoof_07563.wav,0.0
..\data\train\spoof\spoof_06659.wav,0.0
..\data\train\human\human_03345.wav,1.0
..\data\train\spoof\spoof_08595.wav,0.0
..\data\train\human\human_07591.wav,1.0
..\data\train\spoof\spoof_27103.wav,1.0
..\data\train\human\human_06232.wav,1.0
..\data\train\human\human_10071.wav,1.0
..\data\train\spoof\spoof_27948.wav,0.0
..\data\train\spoof\spoof_29407.wav,0.0
..\data\train\spoof\spoof_03057.wav,0.0
..\data\train\spoof\spoof_23431.wav,0.0
..\data\train\spoof\spoof_27339.wav,0.0
..\data\train\spoof\spoof_03026.wav,0.0
..\data\train\spoof\spoof_29174.wav,0.0
..\data\train\spoof\spoof_31402.wav,0.0
..\data\train\spoof\spoof_24193.wav,0.0
..\data\train\spoof\spoof_17437.wav,0.0
..\data\train\spoof\spoof_34076.wav,0.0
..\data\train\spoof\spoof_26541.wav,0.0
..\data\train\human\human_09158.wav,1.0
..\data\train\spoof\spoof_04849.wav,0.0
..\data\train\spoof\spoof_27054.wav,0.0
..\data\train\spoof\spoof_26962.wav,0.0
..\data\train\spoof\spoof_11673.wav,0.0
..\data\train\spoof\spoof_19527.wav,0.0
..\data\train\spoof\spoof_39650.wav,0.0
..\data\train\human\human_09502.wav,1.0
..\data\train\spoof\spoof_19857.wav,0.0
..\data\train\spoof\spoof_18081.wav,0.0
..\data\train\spoof\spoof_15336.wav,0.0
..\data\train\spoof\spoof_32437.wav,0.0
..\data\train\spoof\spoof_39264.wav,0.0
..\data\train\spoof\spoof_29015.wav,0.0
..\data\train\spoof\spoof_10166.wav,0.0
..\data\train\spoof\spoof_11907.wav,0.0
..\data\train\spoof\spoof_20025.wav,0.0
..\data\train\spoof\spoof_27209.wav,0.0
..\data\train\spoof\spoof_02552.wav,0.0
..\data\train\spoof\spoof_29021.wav,0.0
..\data\train\human\human_10091.wav,1.0
..\data\train\spoof\spoof_15477.wav,0.0
..\data\train\spoof\spoof_31970.wav,0.0
..\data\train\spoof\spoof_23978.wav,0.0
..\data\train\spoof\spoof_19045.wav,0.0
..\data\train\spoof\spoof_31676.wav,0.0
..\data\train\spoof\spoof_07509.wav,0.0
..\data\train\spoof\spoof_37104.wav,0.0
..\data\train\spoof\spoof_01186.wav,0.0
..\data\train\spoof\spoof_37639.wav,0.0
..\data\train\spoof\spoof_30459.wav,1.0
..\data\train\spoof\spoof_29415.wav,0.0
..\data\train\human\human_02039.wav,1.0
..\data\train\spoof\spoof_32770.wav,0.0
..\data\train\spoof\spoof_07370.wav,0.0
..\data\train\spoof\spoof_04654.wav,0.0
..\data\train\human\human_06287.wav,1.0
..\data\train\spoof\spoof_09995.wav,0.0
..\data\train\spoof\spoof_13059.wav,0.0
..\data\train\spoof\spoof_11697.wav,0.0
..\data\train\spoof\spoof_36054.wav,0.0
..\data\train\spoof\spoof_10750.wav,0.0
..\data\train\spoof\spoof_09977.wav,0.0
..\data\train\spoof\spoof_22580.wav,0.0
..\data\train\spoof\spoof_25213.wav,0.0
..\data\train\spoof\spoof_10537.wav,0.0
..\data\train\spoof\spoof_35317.wav,0.0
..\data\train\spoof\spoof_25003.wav,0.0
..\data\train\spoof\spoof_02121.wav,0.0
..\data\train\spoof\spoof_39423.wav,0.0
..\data\train\spoof\spoof_37113.wav,0.0
..\data\train\spoof\spoof_13612.wav,0.0
..\data\train\spoof\spoof_08920.wav,0.0
..\data\train\spoof\spoof_16067.wav,0.0
..\data\train\spoof\spoof_27470.wav,0.0
..\data\train\human\human_04674.wav,1.0
..\data\train\human\human_00568.wav,1.0
..\data\train\spoof\spoof_06375.wav,0.0
..\data\train\spoof\spoof_36686.wav,0.0
..\data\train\spoof\spoof_38624.wav,0.0
..\data\train\human\human_03140.wav,1.0
..\data\train\human\human_06661.wav,1.0
..\data\train\human\human_08264.wav,1.0
..\data\train\spoof\spoof_31930.wav,0.0
..\data\train\spoof\spoof_05023.wav,0.0
..\data\train\human\human_10078.wav,1.0
..\data\train\spoof\spoof_26682.wav,1.0
..\data\train\spoof\spoof_20145.wav,0.0
..\data\train\spoof\spoof_25828.wav,0.0
..\data\train\spoof\spoof_08233.wav,1.0
..\data\train\spoof\spoof_01992.wav,0.0
..\data\train\spoof\spoof_08249.wav,0.0
..\data\train\spoof\spoof_16151.wav,0.0
..\data\train\spoof\spoof_15880.wav,0.0
..\data\train\human\human_04283.wav,1.0
..\data\train\human\human_06040.wav,1.0
..\data\train\human\human_01214.wav,1.0
..\data\train\spoof\spoof_24730.wav,0.0
..\data\train\spoof\spoof_18247.wav,0.0
..\data\train\human\human_08086.wav,1.0
..\data\train\spoof\spoof_19103.wav,0.0
..\data\train\human\human_06904.wav,1.0
..\data\train\human\human_00976.wav,1.0
..\data\train\spoof\spoof_04363.wav,0.0
..\data\train\spoof\spoof_29177.wav,0.0
..\data\train\spoof\spoof_21774.wav,0.0
..\data\train\spoof\spoof_21205.wav,0.0
..\data\train\human\human_04538.wav,1.0
..\data\train\human\human_04722.wav,1.0
..\data\train\spoof\spoof_04991.wav,0.0
..\data\train\spoof\spoof_35537.wav,0.0
..\data\train\human\human_02780.wav,1.0
..\data\train\spoof\spoof_28012.wav,0.0
..\data\train\human\human_00616.wav,1.0
..\data\train\spoof\spoof_36058.wav,0.0
..\data\train\spoof\spoof_20237.wav,0.0
..\data\train\spoof\spoof_24441.wav,0.0
..\data\train\human\human_10186.wav,1.0
..\data\train\spoof\spoof_35240.wav,0.0
..\data\train\spoof\spoof_16634.wav,0.0
..\data\train\spoof\spoof_06154.wav,0.0
..\data\train\spoof\spoof_19683.wav,0.0
..\data\train\spoof\spoof_08943.wav,0.0
..\data\train\spoof\spoof_05657.wav,0.0
..\data\train\spoof\spoof_21133.wav,0.0
..\data\train\human\human_05689.wav,1.0
..\data\train\spoof\spoof_28489.wav,0.0
..\data\train\spoof\spoof_14388.wav,0.0
..\data\train\spoof\spoof_13339.wav,0.0
..\data\train\spoof\spoof_25646.wav,0.0
..\data\train\human\human_06275.wav,1.0
..\data\train\spoof\spoof_37567.wav,0.0
..\data\train\human\human_07091.wav,1.0
..\data\train\human\human_05796.wav,1.0
..\data\train\spoof\spoof_09446.wav,0.0
..\data\train\spoof\spoof_30978.wav,0.0
..\data\train\spoof\spoof_09927.wav,0.0
..\data\train\spoof\spoof_11831.wav,0.0
..\data\train\spoof\spoof_08575.wav,0.0
..\data\train\human\human_08955.wav,1.0
..\data\train\spoof\spoof_32201.wav,0.0
..\data\train\spoof\spoof_18862.wav,0.0
..\data\train\spoof\spoof_23164.wav,0.0
..\data\train\spoof\spoof_28016.wav,0.0
..\data\train\spoof\spoof_00535.wav,0.0
..\data\train\spoof\spoof_31309.wav,0.0
..\data\train\human\human_09084.wav,1.0
..\data\train\spoof\spoof_24062.wav,0.0
..\data\train\spoof\spoof_20272.wav,0.0
..\data\train\spoof\spoof_12413.wav,0.0
..\data\train\spoof\spoof_28177.wav,0.0
..\data\train\spoof\spoof_29661.wav,0.0
..\data\train\spoof\spoof_22732.wav,0.0
..\data\train\spoof\spoof_09936.wav,0.0
..\data\train\spoof\spoof_26928.wav,0.0
..\data\train\spoof\spoof_11190.wav,0.0
..\data\train\spoof\spoof_25994.wav,0.0
..\data\train\human\human_05770.wav,1.0
..\data\train\spoof\spoof_38635.wav,0.0
..\data\train\spoof\spoof_34219.wav,0.0
..\data\train\spoof\spoof_17929.wav,0.0
..\data\train\spoof\spoof_07021.wav,0.0
..\data\train\spoof\spoof_12439.wav,0.0
..\data\train\spoof\spoof_17198.wav,0.0
..\data\train\spoof\spoof_20288.wav,0.0
..\data\train\human\human_05521.wav,1.0
..\data\train\spoof\spoof_28181.wav,0.0
..\data\train\spoof\spoof_24286.wav,0.0
..\data\train\spoof\spoof_39570.wav,0.0
..\data\train\spoof\spoof_02792.wav,0.0
..\data\train\spoof\spoof_32513.wav,0.0
..\data\train\spoof\spoof_11241.wav,0.0
..\data\train\spoof\spoof_27766.wav,0.0
..\data\train\spoof\spoof_33939.wav,0.0
..\data\train\spoof\spoof_38762.wav,0.0
..\data\train\spoof\spoof_14807.wav,0.0
..\data\train\spoof\spoof_28886.wav,0.0
..\data\train\spoof\spoof_05383.wav,0.0
..\data\train\spoof\spoof_01819.wav,0.0
..\data\train\human\human_07064.wav,1.0
..\data\train\spoof\spoof_14948.wav,0.0
..\data\train\spoof\spoof_34197.wav,0.0
..\data\train\spoof\spoof_32848.wav,0.0
..\data\train\spoof\spoof_24420.wav,0.0
..\data\train\spoof\spoof_03755.wav,0.0
..\data\train\spoof\spoof_36335.wav,0.0
..\data\train\human\human_10038.wav,1.0
..\data\train\spoof\spoof_32344.wav,0.0
..\data\train\spoof\spoof_08069.wav,0.0
..\data\train\human\human_07647.wav,1.0
..\data\train\spoof\spoof_04630.wav,1.0
..\data\train\spoof\spoof_35941.wav,0.0
..\data\train\human\human_08448.wav,1.0
..\data\train\spoof\spoof_15742.wav,0.0
..\data\train\spoof\spoof_05152.wav,0.0
..\data\train\human\human_08088.wav,1.0
..\data\train\spoof\spoof_00258.wav,0.0
..\data\train\human\human_09382.wav,1.0
..\data\train\spoof\spoof_21510.wav,0.0
..\data\train\spoof\spoof_12246.wav,0.0
..\data\train\spoof\spoof_12673.wav,0.0
..\data\train\spoof\spoof_06648.wav,0.0
..\data\train\spoof\spoof_36918.wav,0.0
..\data\train\human\human_02559.wav,1.0
..\data\train\spoof\spoof_33534.wav,0.0
..\data\train\spoof\spoof_09627.wav,0.0
..\data\train\spoof\spoof_03221.wav,0.0
..\data\train\spoof\spoof_07011.wav,0.0
..\data\train\spoof\spoof_36510.wav,0.0
..\data\train\spoof\spoof_18556.wav,0.0
..\data\train\spoof\spoof_02918.wav,0.0
..\data\train\spoof\spoof_00905.wav,0.0
..\data\train\spoof\spoof_15585.wav,0.0
..\data\train\spoof\spoof_12000.wav,0.0
..\data\train\spoof\spoof_04881.wav,0.0
..\data\train\spoof\spoof_18091.wav,0.0
..\data\train\human\human_07129.wav,1.0
..\data\train\spoof\spoof_29026.wav,0.0
..\data\train\spoof\spoof_35996.wav,0.0
..\data\train\spoof\spoof_27644.wav,0.0
..\data\train\spoof\spoof_27362.wav,0.0
..\data\train\spoof\spoof_34045.wav,0.0
..\data\train\spoof\spoof_19013.wav,0.0
..\data\train\spoof\spoof_14733.wav,0.0
..\data\train\human\human_06026.wav,1.0
..\data\train\spoof\spoof_23768.wav,0.0
..\data\train\human\human_03971.wav,1.0
..\data\train\spoof\spoof_01323.wav,0.0
..\data\train\spoof\spoof_13736.wav,0.0
..\data\train\spoof\spoof_03395.wav,0.0
..\data\train\spoof\spoof_36772.wav,0.0
..\data\train\spoof\spoof_16997.wav,0.0
..\data\train\spoof\spoof_22136.wav,0.0
..\data\train\spoof\spoof_08341.wav,0.0
..\data\train\spoof\spoof_24563.wav,0.0
..\data\train\spoof\spoof_11317.wav,0.0
..\data\train\spoof\spoof_03714.wav,0.0
..\data\train\human\human_00315.wav,1.0
..\data\train\human\human_03950.wav,1.0
..\data\train\human\human_03666.wav,1.0
..\data\train\human\human_02180.wav,1.0
..\data\train\spoof\spoof_06956.wav,0.0
..\data\train\spoof\spoof_39639.wav,0.0
..\data\train\human\human_08950.wav,1.0
..\data\train\spoof\spoof_21793.wav,0.0
..\data\train\human\human_04847.wav,1.0
..\data\train\spoof\spoof_36458.wav,0.0
..\data\train\spoof\spoof_33720.wav,0.0
..\data\train\spoof\spoof_12317.wav,0.0
..\data\train\spoof\spoof_09818.wav,0.0
..\data\train\human\human_02875.wav,1.0
..\data\train\spoof\spoof_33891.wav,0.0
..\data\train\spoof\spoof_06342.wav,0.0
..\data\train\spoof\spoof_19594.wav,0.0
..\data\train\spoof\spoof_01824.wav,0.0
..\data\train\spoof\spoof_17522.wav,0.0
..\data\train\human\human_05561.wav,1.0
..\data\train\spoof\spoof_20321.wav,0.0
..\data\train\spoof\spoof_11026.wav,0.0
..\data\train\spoof\spoof_23099.wav,0.0
..\data\train\spoof\spoof_28720.wav,0.0
..\data\train\human\human_01806.wav,1.0
..\data\train\spoof\spoof_11197.wav,0.0
..\data\train\spoof\spoof_16927.wav,0.0
..\data\train\spoof\spoof_34454.wav,0.0
..\data\train\spoof\spoof_20674.wav,0.0
..\data\train\spoof\spoof_14774.wav,0.0
..\data\train\spoof\spoof_06449.wav,0.0
..\data\train\spoof\spoof_27246.wav,0.0
..\data\train\spoof\spoof_21988.wav,0.0
..\data\train\spoof\spoof_21172.wav,0.0
..\data\train\human\human_00047.wav,1.0
..\data\train\spoof\spoof_30625.wav,0.0
..\data\train\spoof\spoof_22737.wav,0.0
..\data\train\human\human_02600.wav,1.0
..\data\train\human\human_02672.wav,1.0
..\data\train\spoof\spoof_27275.wav,0.0
..\data\train\spoof\spoof_00644.wav,0.0
..\data\train\spoof\spoof_01612.wav,0.0
..\data\train\spoof\spoof_29313.wav,0.0
..\data\train\human\human_01135.wav,1.0
..\data\train\spoof\spoof_31825.wav,0.0
..\data\train\spoof\spoof_21565.wav,0.0
..\data\train\spoof\spoof_21991.wav,0.0
..\data\train\spoof\spoof_23943.wav,0.0
..\data\train\spoof\spoof_01145.wav,0.0
..\data\train\spoof\spoof_21635.wav,0.0
..\data\train\spoof\spoof_28412.wav,1.0
..\data\train\human\human_01978.wav,1.0
..\data\train\spoof\spoof_02251.wav,0.0
..\data\train\spoof\spoof_29105.wav,0.0
..\data\train\spoof\spoof_35211.wav,0.0
..\data\train\spoof\spoof_09694.wav,0.0
..\data\train\spoof\spoof_36447.wav,0.0
..\data\train\spoof\spoof_08570.wav,0.0
..\data\train\human\human_09630.wav,1.0
..\data\train\spoof\spoof_10727.wav,0.0
..\data\train\human\human_09705.wav,1.0
..\data\train\human\human_05524.wav,1.0
..\data\train\spoof\spoof_37274.wav,0.0
..\data\train\spoof\spoof_11291.wav,0.0
..\data\train\spoof\spoof_05820.wav,0.0
..\data\train\spoof\spoof_22634.wav,0.0
..\data\train\spoof\spoof_01979.wav,0.0
..\data\train\human\human_05764.wav,1.0
..\data\train\human\human_03474.wav,1.0
..\data\train\spoof\spoof_23802.wav,0.0
..\data\train\spoof\spoof_36382.wav,0.0
..\data\train\spoof\spoof_22268.wav,0.0
..\data\train\human\human_09739.wav,1.0
..\data\train\spoof\spoof_14663.wav,0.0
..\data\train\spoof\spoof_29117.wav,0.0
..\data\train\spoof\spoof_36618.wav,0.0
..\data\train\spoof\spoof_17983.wav,0.0
..\data\train\spoof\spoof_16786.wav,0.0
..\data\train\human\human_07746.wav,1.0
..\data\train\spoof\spoof_11511.wav,0.0
..\data\train\spoof\spoof_39204.wav,0.0
..\data\train\spoof\spoof_23846.wav,0.0
..\data\train\spoof\spoof_07290.wav,0.0
..\data\train\spoof\spoof_20826.wav,0.0
..\data\train\spoof\spoof_15238.wav,0.0
..\data\train\spoof\spoof_21389.wav,0.0
..\data\train\spoof\spoof_37059.wav,0.0
..\data\train\spoof\spoof_34213.wav,0.0
..\data\train\spoof\spoof_01804.wav,0.0
..\data\train\spoof\spoof_04871.wav,0.0
..\data\train\spoof\spoof_33277.wav,0.0
..\data\train\human\human_07967.wav,1.0
..\data\train\human\human_01722.wav,1.0
..\data\train\spoof\spoof_19948.wav,0.0
..\data\train\spoof\spoof_04994.wav,0.0
..\data\train\spoof\spoof_10540.wav,0.0
..\data\train\spoof\spoof_27870.wav,0.0
..\data\train\spoof\spoof_02796.wav,0.0
..\data\train\spoof\spoof_26360.wav,0.0
..\data\train\spoof\spoof_09507.wav,0.0
..\data\train\spoof\spoof_02060.wav,0.0
..\data\train\spoof\spoof_03619.wav,0.0
..\data\train\human\human_05648.wav,1.0
..\data\train\human\human_08658.wav,1.0
..\data\train\spoof\spoof_09635.wav,0.0
..\data\train\human\human_03094.wav,1.0
..\data\train\spoof\spoof_28641.wav,1.0
..\data\train\human\human_00787.wav,1.0
..\data\train\spoof\spoof_22421.wav,0.0
..\data\train\spoof\spoof_36736.wav,0.0
..\data\train\spoof\spoof_20682.wav,0.0
..\data\train\spoof\spoof_15113.wav,0.0
..\data\train\spoof\spoof_28738.wav,0.0
..\data\train\spoof\spoof_14710.wav,0.0
..\data\train\spoof\spoof_00205.wav,0.0
..\data\train\human\human_02207.wav,1.0
..\data\train\spoof\spoof_12749.wav,0.0
..\data\train\human\human_07666.wav,1.0
..\data\train\spoof\spoof_34212.wav,0.0
..\data\train\spoof\spoof_21900.wav,0.0
..\data\train\human\human_06811.wav,1.0
..\data\train\spoof\spoof_29094.wav,0.0
..\data\train\spoof\spoof_27256.wav,0.0
..\data\train\human\human_05491.wav,1.0
..\data\train\spoof\spoof_18297.wav,0.0
..\data\train\spoof\spoof_38566.wav,0.0
..\data\train\spoof\spoof_33282.wav,0.0
..\data\train\spoof\spoof_03099.wav,0.0
..\data\train\spoof\spoof_24651.wav,0.0
..\data\train\spoof\spoof_34576.wav,0.0
..\data\train\spoof\spoof_30618.wav,0.0
..\data\train\spoof\spoof_38135.wav,0.0
..\data\train\spoof\spoof_14084.wav,0.0
..\data\train\spoof\spoof_38047.wav,0.0
..\data\train\spoof\spoof_06407.wav,0.0
..\data\train\spoof\spoof_02960.wav,0.0
..\data\train\spoof\spoof_23729.wav,0.0
..\data\train\spoof\spoof_02175.wav,0.0
..\data\train\spoof\spoof_36484.wav,1.0
..\data\train\spoof\spoof_24101.wav,0.0
..\data\train\spoof\spoof_16124.wav,0.0
..\data\train\spoof\spoof_12702.wav,0.0
..\data\train\spoof\spoof_11436.wav,0.0
..\data\train\spoof\spoof_23033.wav,0.0
..\data\train\spoof\spoof_30207.wav,0.0
..\data\train\spoof\spoof_38344.wav,0.0
..\data\train\spoof\spoof_26415.wav,0.0
..\data\train\spoof\spoof_10642.wav,0.0
..\data\train\spoof\spoof_13668.wav,0.0
..\data\train\spoof\spoof_10509.wav,0.0
..\data\train\spoof\spoof_18095.wav,0.0
..\data\train\spoof\spoof_11233.wav,0.0
..\data\train\spoof\spoof_32401.wav,0.0
..\data\train\human\human_02579.wav,1.0
..\data\train\spoof\spoof_25006.wav,0.0
..\data\train\spoof\spoof_30200.wav,0.0
..\data\train\spoof\spoof_06381.wav,0.0
..\data\train\spoof\spoof_24767.wav,0.0
..\data\train\spoof\spoof_10175.wav,0.0
..\data\train\human\human_00310.wav,1.0
..\data\train\human\human_04728.wav,1.0
..\data\train\spoof\spoof_04134.wav,0.0
..\data\train\spoof\spoof_26819.wav,0.0
..\data\train\spoof\spoof_21929.wav,0.0
..\data\train\spoof\spoof_09869.wav,0.0
..\data\train\spoof\spoof_13999.wav,0.0
..\data\train\human\human_01760.wav,1.0
..\data\train\spoof\spoof_04834.wav,0.0
..\data\train\spoof\spoof_14375.wav,0.0
..\data\train\human\human_03051.wav,1.0
..\data\train\human\human_04948.wav,1.0
..\data\train\spoof\spoof_29002.wav,0.0
..\data\train\human\human_02385.wav,1.0
..\data\train\spoof\spoof_30964.wav,0.0
..\data\train\spoof\spoof_25352.wav,0.0
..\data\train\human\human_05539.wav,1.0
..\data\train\spoof\spoof_23706.wav,0.0
..\data\train\human\human_01769.wav,1.0
..\data\train\spoof\spoof_35278.wav,0.0
..\data\train\spoof\spoof_25169.wav,0.0
..\data\train\spoof\spoof_02729.wav,0.0
..\data\train\spoof\spoof_14395.wav,0.0
..\data\train\spoof\spoof_23811.wav,0.0
..\data\train\human\human_07922.wav,1.0
..\data\train\spoof\spoof_04322.wav,0.0
..\data\train\spoof\spoof_05104.wav,0.0
..\data\train\spoof\spoof_29529.wav,0.0
..\data\train\spoof\spoof_12115.wav,0.0
..\data\train\spoof\spoof_27763.wav,0.0
..\data\train\spoof\spoof_01803.wav,0.0
..\data\train\spoof\spoof_13248.wav,0.0
..\data\train\spoof\spoof_26206.wav,0.0
..\data\train\spoof\spoof_27709.wav,0.0
..\data\train\spoof\spoof_26273.wav,0.0
..\data\train\spoof\spoof_06587.wav,0.0
..\data\train\spoof\spoof_24627.wav,0.0
..\data\train\spoof\spoof_26701.wav,0.0
..\data\train\human\human_09933.wav,1.0
..\data\train\spoof\spoof_18300.wav,0.0
..\data\train\spoof\spoof_24020.wav,0.0
..\data\train\spoof\spoof_34237.wav,0.0
..\data\train\spoof\spoof_27276.wav,0.0
..\data\train\spoof\spoof_14987.wav,0.0
..\data\train\spoof\spoof_02925.wav,0.0
..\data\train\spoof\spoof_28646.wav,0.0
..\data\train\spoof\spoof_12919.wav,0.0
..\data\train\spoof\spoof_33443.wav,0.0
..\data\train\human\human_01131.wav,1.0
..\data\train\spoof\spoof_04989.wav,0.0
..\data\train\spoof\spoof_35508.wav,0.0
..\data\train\spoof\spoof_37307.wav,0.0
..\data\train\human\human_09181.wav,1.0
..\data\train\spoof\spoof_06062.wav,0.0
..\data\train\human\human_02287.wav,1.0
